Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Napoli,34,21,9,4,57,31,26,51,1.5,,Diego Maradona - 16,,→ European Cup via league finish
2,Milan,34,22,5,7,56,27,29,49,1.44,,Marco van Basten - 19,,→ European Cup via Champions League win
3,Internazionale,34,17,10,7,55,32,23,44,1.29,,Jürgen Klinsmann - 13,,→ UEFA Cup via league finish
4,Juventus,34,15,14,5,56,36,20,44,1.29,,Salvatore Schillaci - 15,,→ European Cup Winners' Cup via cup win
5,Sampdoria,34,16,11,7,46,26,20,43,1.26,,Roberto Mancini - 11,,→ European Cup Winners' Cup
6,Roma,34,14,13,7,45,40,5,41,1.21,,Rudi Völler - 14,,→ UEFA Cup via league finish
7,Atalanta,34,12,11,11,36,43,-7,35,1.03,,"Armando Madonna, Claudio Caniggia - 8",,→ UEFA Cup via league finish
8,Bologna,34,9,16,9,29,36,-7,34,1.0,,Bruno Giordano - 7,,→ UEFA Cup via league finish
9,Lazio,34,8,15,11,34,33,1,31,0.91,,"Amarildo Souza do Amaral, Rubén Sosa - 8",,
10,Bari,34,6,19,9,34,37,-3,31,0.91,,"João Paulo, Pietro Maiellaro - 6",,
11,Genoa,34,6,17,11,27,31,-4,29,0.85,,Davide Fontolan - 9,,
12,Fiorentina,34,7,14,13,41,42,-1,28,0.82,,Roberto Baggio - 17,,
13,Cesena,34,6,16,12,26,36,-10,28,0.82,,Massimo Agostini - 11,,
14,Lecce,34,10,8,16,29,46,-17,28,0.82,,Pedro Pasculli - 9,,
15,Udinese,34,6,15,13,37,51,-14,27,0.79,,Abel Balbo - 11,,Relegated
16,Hellas Verona,34,6,13,15,27,44,-17,25,0.74,,Davide Pellegrini - 6,,Relegated
17,Cremonese,34,5,13,16,29,50,-21,23,0.68,,Gustavo Dezotti - 13,,Relegated
18,Ascoli,34,4,13,17,20,43,-23,21,0.62,,Borislav Cvetković - 7,,Relegated
