Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Juventus,34,21,11,2,67,28,39,74,2.18,,Alessandro Del Piero - 21,,
2,Internazionale,34,21,6,7,62,27,35,69,2.03,,Ronaldo - 25,,
3,Udinese,34,19,7,8,62,40,22,64,1.88,,Oliver Bierhoff - 27,,
4,Roma,34,16,11,7,67,42,25,59,1.74,,Abel Balbo - 14,,
5,Fiorentina,34,15,12,7,65,36,29,57,1.68,,Gabriel Batistuta - 21,,
6,Parma,34,15,12,7,55,39,16,57,1.68,,Hernán Crespo - 12,,
7,Lazio,34,16,8,10,53,30,23,56,1.65,,Pavel Nedvěd - 11,,
8,Bologna,34,12,12,10,55,46,9,48,1.41,,Roberto Baggio - 22,,
9,Sampdoria,34,13,9,12,52,55,-3,48,1.41,,Vincenzo Montella - 20,,
10,Milan,34,11,11,12,37,43,-6,44,1.29,,George Weah - 10,,
11,Bari,34,10,8,16,30,45,-15,38,1.12,,Phil Masinga - 9,,
12,Empoli,34,10,7,17,50,58,-8,37,1.09,,Carmine Esposito - 14,,
13,Piacenza,34,7,16,11,29,38,-9,37,1.09,,"Roberto Murgita, Davide Dionigi... - 5",,
14,Vicenza,34,9,9,16,36,61,-25,36,1.06,,Pasquale Luiso - 8,,
15,Brescia,34,9,8,17,45,63,-18,35,1.03,,Dario Hübner - 16,,
16,Atalanta,34,7,11,16,25,48,-23,32,0.94,,Nicola Caccia - 6,,
17,Lecce,34,6,8,20,32,72,-40,26,0.76,,Francesco Palmieri - 10,,
18,Napoli,34,2,8,24,25,76,-51,14,0.41,,Claudio Bellucci - 10,,
