Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Bayern Munich,34,24,6,4,76,28,48,78,2.29,,"Carsten Jancker, Giovane Élber - 13",,
2,Leverkusen,34,17,12,5,61,30,31,63,1.85,,Ulf Kirsten - 19,,
3,Hertha BSC,34,18,8,8,59,32,27,62,1.82,,Michael Preetz - 23,,
4,Dortmund,34,16,9,9,48,34,14,57,1.68,,Stéphane Chapuisat - 8,,
5,Kaiserslautern,34,17,6,11,51,47,4,57,1.68,,Olaf Marschall - 12,,
6,Wolfsburg,34,15,10,9,54,49,5,55,1.62,,Andrzej Juskowiak - 13,,
7,Hamburger SV,34,13,11,10,47,46,1,50,1.47,,Tony Yeboah - 14,,
8,MSV Duisburg,34,13,10,11,48,45,3,49,1.44,,Markus Beierle - 13,,
9,1860 Munich,34,11,8,15,49,56,-7,41,1.21,,Bernd Hobsch - 12,,
10,Schalke 04,34,10,11,13,41,54,-13,41,1.21,,"Martin Max, Youri Mulder - 6",,
11,Stuttgart,34,9,12,13,41,48,-7,39,1.15,,Jonathan Akpoborie - 11,,
12,Freiburg,34,10,9,15,36,44,-8,39,1.15,,"Marco Weißhaupt, Aleksandre Iashvili... - 6",,
13,Werder Bremen,34,10,8,16,41,47,-6,38,1.12,,"Marco Bode, Rade Bogdanović - 8",,
14,Hansa Rostock,34,9,11,14,49,58,-9,38,1.12,,Oliver Neuville - 14,,
15,Eint Frankfurt,34,9,10,15,44,54,-10,37,1.09,,Chen Yang - 8,,
16,Nürnberg,34,7,16,11,40,50,-10,37,1.09,,Saša Ćirić - 13,,Relegated
17,Bochum,34,7,8,19,40,65,-25,29,0.85,,Stefan Kuntz - 6,,Relegated
18,M'Gladbach,34,4,9,21,41,79,-38,21,0.62,,Toni Polster - 11,,Relegated
